Original_SampleID,SampleID,Run,Sex,Genotype,BrainRegion,LibraryPrepBatch
S122_18prl_133_S133,S18_PrL,1,male,NZO,PrL,3
SBatch3_122_18prl_133_S15,S18_PrL_2,2,male,NZO,PrL,3_rerun
S66_19acc_19_S19,S19_NAcc,1,male,WSB,NAcc,1
S71_19cea_68_S68,S19_CeA,1,male,WSB,CeA,2
SBatch2_71_19cea_68_S77,S19_CeA_2,2,male,WSB,CeA,2_rerun
S83_19prl_119_S119,S19_PrL,1,male,WSB,PrL,3
SBatch3_83_19prl_119_S85,S19_PrL_2,2,male,WSB,PrL,3_rerun
S146_1acc_94_S94,S1_NAcc,1,female,B6,NAcc,2
SBatch2_146_1acc_94_S31,S1_NAcc_2,2,female,B6,NAcc,2_rerun
S154_1cea_143_S143,S1_CeA,1,female,B6,CeA,3
SBatch3_154_1cea_143_S38,S1_CeA_2,2,female,B6,CeA,3_rerun
S150_1prl_47_S47,S1_PrL,1,female,B6,PrL,1
S116_20acc_35_S35,S20_NAcc,1,male,CAST,NAcc,1
S128_20cea_87_S87,S20_CeA,1,male,CAST,CeA,2
SBatch2_128_20cea_87_S20,S20_CeA_2,2,male,CAST,CeA,2_rerun
S115_20prl_131_S131,S20_PrL,1,male,CAST,PrL,3
SBatch3_115_20prl_131_S11,S20_PrL_2,2,male,CAST,PrL,3_rerun
S113_21acc_34_S34,S21_NAcc,1,male,AJ,NAcc,1
S123_21cea_85_S85,S21_CeA,1,male,AJ,CeA,2
SBatch2_123_21cea_85_S16,S21_CeA_2,2,male,AJ,CeA,2_rerun
S118_21prl_132_S132,S21_PrL,1,male,AJ,PrL,3
SBatch3_118_21prl_132_S12,S21_PrL_2,2,male,AJ,PrL,3_rerun
S131_22acc_40_S40,S22_NAcc,1,male,S129,NAcc,1
S120_22cea_84_S84,S22_CeA,1,male,S129,CeA,2
SBatch2_120_22cea_84_S14,S22_CeA_2,2,male,S129,CeA,2_rerun
S132_22prl_136_S136,S22_PrL,1,male,S129,PrL,3
SBatch3_132_22prl_136_S23,S22_PrL_2,2,male,S129,PrL,3_rerun
S74_23acc_21_S21,S23_NAcc,1,male,NOD,NAcc,1
S65_23cea_66_S66,S23_CeA,1,male,NOD,CeA,2
SBatch2_65_23cea_66_S73,S23_CeA_2,2,male,NOD,CeA,2_rerun
S72_23prl_116_S116,S23_PrL,1,male,NOD,PrL,3
SBatch3_72_23prl_116_S78,S23_PrL_2,2,male,NOD,PrL,3_rerun
S81_24acc_23_S23,S24_NAcc,1,male,PWK,NAcc,1
S78_24cea_71_S71,S24_CeA,1,male,PWK,CeA,2
SBatch2_78_24cea_71_S82,S24_CeA_2,2,male,PWK,CeA,2_rerun
S62_24prl_113_S113,S24_PrL,1,male,PWK,PrL,3
SBatch3_62_24prl_113_S71,S24_PrL_2,2,male,PWK,PrL,3_rerun
S85_25acc_25_S25,S25_NAcc,1,female,B6,NAcc,1
S91_25cea_76_S76,S25_CeA,1,female,B6,CeA,2
SBatch2_91_25cea_76_S91,S25_CeA_2,2,female,B6,CeA,2_rerun
S94_25prl_122_S122,S25_PrL,1,female,B6,PrL,3
SBatch3_94_25prl_122_S92,S25_PrL_2,2,female,B6,PrL,3_rerun
S58_26acc_64_S64,S26_NAcc,1,female,NZO,NAcc,2
SBatch2_58_26acc_64_S68,S26_NAcc_2,2,female,NZO,NAcc,2_rerun
S55_26cea_110_S110,S26_CeA,1,female,NZO,CeA,3
SBatch3_55_26cea_110_S65,S26_CeA_2,2,female,NZO,CeA,3_rerun
S49_26prl_14_S14,S26_PrL,1,female,NZO,PrL,1
S99_27acc_78_S78,S27_NAcc,1,female,WSB,NAcc,2
